y_true,y_pred,y_probability
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,0,0.01
1,1,0.99
0,1,0.99
1,0,0.01
0,1,0.99
1,0,0.01
0,1,0.99
1,0,0.01
0,1,0.99
1,0,0.01
0,1,0.99
1,0,0.01
0,1,0.99
1,0,0.01
0,1,0.99
1,0,0.01
0,1,0.99
1,0,0.01
0,1,0.99
1,0,0.01
0,1,0.99
1,0,0.01
