y_true,y_pred,y_probability,site
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,0,0.2,A
1,1,0.8,A
0,1,0.8,B
1,0,0.2,B
0,1,0.8,B
1,0,0.2,B
0,1,0.8,B
1,0,0.2,B
0,1,0.8,B
1,0,0.2,B
0,1,0.8,B
1,0,0.2,B
